Anova: Single Factor,,,,,,
,,,,,,
SUMMARY,,,,,,
Groups,Count,Sum,Average,Variance,,
longitude,20640,-2467918.7,-119.5697045,4.014139367,,
latitude,20640,735441.62,35.63186143,4.562292644,,
housing_median_age,20640,591119,28.63948643,158.3962604,,
total_rooms,20640,54402150,2635.763081,4759445.106,,
total_bedrooms,20433,10990309,537.8705525,177565.3773,,
population,20640,29421840,1425.476744,1282470.457,,
households,20640,10310499,499.5396802,146176.0399,,
median_income,20640,79890.6495,3.870671003,3.60932256,,
median_house_value,20640,4269504061,206855.8169,13316148163,,
,,,,,,
,,,,,,
ANOVA,,,,,,
Source of Variation,SS,df,MS,F,P-value,F crit
Between Groups,7.80282E+14,8,9.75352E+13,65816.30265,0,1.938463795
Within Groups,2.74963E+14,185544,1481930591,,,
,,,,,,
Total,1.05524E+15,185552,,,,
